"id","date","country","state","city","lat","lng","deaths","confirmed","tests","deaths_new","confirmed_new","tests_new","pop","pop_14","pop_15_64","pop_65","pop_age","pop_density","pop_death_rate"
"Diamond Princess||NA",2020-03-01,"Diamond Princess","",NA,0,0,6,705,4061,0,0,0,3711,NA,NA,NA,NA,NA,NA
"Diamond Princess||NA",2020-03-02,"Diamond Princess","",NA,0,0,6,705,4061,0,0,0,3711,NA,NA,NA,NA,NA,NA
"Diamond Princess||NA",2020-03-03,"Diamond Princess","",NA,0,0,6,706,4061,0,1,0,3711,NA,NA,NA,NA,NA,NA
"Diamond Princess||NA",2020-03-04,"Diamond Princess","",NA,0,0,6,706,4061,0,0,0,3711,NA,NA,NA,NA,NA,NA
"Diamond Princess||NA",2020-03-05,"Diamond Princess","",NA,0,0,6,706,4061,0,0,0,3711,NA,NA,NA,NA,NA,NA
"Diamond Princess||NA",2020-03-06,"Diamond Princess","",NA,0,0,6,706,4061,0,0,0,3711,NA,NA,NA,NA,NA,NA
"Diamond Princess||NA",2020-03-07,"Diamond Princess","",NA,0,0,6,706,4061,0,0,0,3711,NA,NA,NA,NA,NA,NA
"Diamond Princess||NA",2020-03-08,"Diamond Princess","",NA,0,0,6,706,4061,0,0,0,3711,NA,NA,NA,NA,NA,NA
"Diamond Princess||NA",2020-03-09,"Diamond Princess","",NA,0,0,6,706,4061,0,0,0,3711,NA,NA,NA,NA,NA,NA
"Diamond Princess||NA",2020-03-10,"Diamond Princess","",NA,0,0,6,706,4061,0,0,0,3711,NA,NA,NA,NA,NA,NA
"Diamond Princess||NA",2020-03-11,"Diamond Princess","",NA,0,0,7,706,4061,1,0,0,3711,NA,NA,NA,NA,NA,NA
"Diamond Princess||NA",2020-03-12,"Diamond Princess","",NA,0,0,7,706,4061,0,0,0,3711,NA,NA,NA,NA,NA,NA
"Diamond Princess||NA",2020-03-13,"Diamond Princess","",NA,0,0,7,706,4061,0,0,0,3711,NA,NA,NA,NA,NA,NA
"Diamond Princess||NA",2020-03-14,"Diamond Princess","",NA,0,0,7,706,4061,0,0,0,3711,NA,NA,NA,NA,NA,NA
"Diamond Princess||NA",2020-03-15,"Diamond Princess","",NA,0,0,7,706,4061,0,0,0,3711,NA,NA,NA,NA,NA,NA
"Diamond Princess||NA",2020-03-16,"Diamond Princess","",NA,0,0,7,706,4061,0,0,0,3711,NA,NA,NA,NA,NA,NA
"Diamond Princess||NA",2020-03-17,"Diamond Princess","",NA,0,0,7,706,4061,0,0,0,3711,NA,NA,NA,NA,NA,NA
"Diamond Princess||NA",2020-03-18,"Diamond Princess","",NA,0,0,7,712,4061,0,6,0,3711,NA,NA,NA,NA,NA,NA
"Diamond Princess||NA",2020-03-19,"Diamond Princess","",NA,0,0,7,712,4061,0,0,0,3711,NA,NA,NA,NA,NA,NA
"Diamond Princess||NA",2020-03-20,"Diamond Princess","",NA,0,0,7,712,4061,0,0,0,3711,NA,NA,NA,NA,NA,NA
"Diamond Princess||NA",2020-03-21,"Diamond Princess","",NA,0,0,8,712,4061,1,0,0,3711,NA,NA,NA,NA,NA,NA
"Diamond Princess||NA",2020-03-22,"Diamond Princess","",NA,0,0,8,712,4061,0,0,0,3711,NA,NA,NA,NA,NA,NA
"Diamond Princess||NA",2020-03-23,"Diamond Princess","",NA,0,0,8,712,4061,0,0,0,3711,NA,NA,NA,NA,NA,NA
"Diamond Princess||NA",2020-03-24,"Diamond Princess","",NA,0,0,10,712,4061,2,0,0,3711,NA,NA,NA,NA,NA,NA
"Diamond Princess||NA",2020-03-25,"Diamond Princess","",NA,0,0,10,712,4061,0,0,0,3711,NA,NA,NA,NA,NA,NA
"Diamond Princess||NA",2020-03-26,"Diamond Princess","",NA,0,0,10,712,4061,0,0,0,3711,NA,NA,NA,NA,NA,NA
"Diamond Princess||NA",2020-03-27,"Diamond Princess","",NA,0,0,10,712,4061,0,0,0,3711,NA,NA,NA,NA,NA,NA
